project,file,loc,nclones,nsequences,maxseqlen
apisix,testdir/apisix/apisix\admin\consumers.lua,125,85,3,4
apisix,testdir/apisix/apisix\admin\global_rules.lua,176,209,21,6
apisix,testdir/apisix/apisix\admin\init.lua,382,886,117,12
apisix,testdir/apisix/apisix\admin\plugin_config.lua,173,206,20,6
apisix,testdir/apisix/apisix\admin\plugin_metadata.lua,137,118,16,5
apisix,testdir/apisix/apisix\admin\plugins.lua,102,46,48,10
apisix,testdir/apisix/apisix\admin\proto.lua,171,164,37,8
apisix,testdir/apisix/apisix\admin\routes.lua,309,608,51,7
apisix,testdir/apisix/apisix\admin\schema.lua,35,0,0,0
apisix,testdir/apisix/apisix\admin\services.lua,261,506,53,9
apisix,testdir/apisix/apisix\admin\ssl.lua,239,352,25,6
apisix,testdir/apisix/apisix\admin\stream_routes.lua,149,140,0,0
apisix,testdir/apisix/apisix\admin\upstreams.lua,302,509,64,8
apisix,testdir/apisix/apisix\admin\utils.lua,60,8,0,0
apisix,testdir/apisix/apisix\api_router.lua,170,126,41,10
apisix,testdir/apisix/apisix\balancer.lua,242,381,80,11
apisix,testdir/apisix/apisix\balancer\ewma.lua,243,431,112,12
apisix,testdir/apisix/apisix\balancer\least_conn.lua,113,39,6,4
apisix,testdir/apisix/apisix\balancer\priority.lua,81,38,0,0
apisix,testdir/apisix/apisix\balancer\roundrobin.lua,89,18,0,0
apisix,testdir/apisix/apisix\cli\apisix.lua,34,0,6,4
apisix,testdir/apisix/apisix\cli\env.lua,84,14,29,8
apisix,testdir/apisix/apisix\cli\file.lua,216,723,57,11
apisix,testdir/apisix/apisix\cli\util.lua,131,96,25,8
apisix,testdir/apisix/apisix\constants.lua,38,29,9,10
apisix,testdir/apisix/apisix\consumer.lua,130,99,12,6
apisix,testdir/apisix/apisix\control\router.lua,189,325,27,9
apisix,testdir/apisix/apisix\control\v1.lua,176,152,69,11
apisix,testdir/apisix/apisix\core.lua,52,46,78,12
apisix,testdir/apisix/apisix\core\config_etcd.lua,777,3401,358,12
apisix,testdir/apisix/apisix\core\config_local.lua,47,6,0,0
apisix,testdir/apisix/apisix\core\config_util.lua,68,23,0,0
apisix,testdir/apisix/apisix\core\config_yaml.lua,373,941,247,12
apisix,testdir/apisix/apisix\core\ctx.lua,221,295,136,12
apisix,testdir/apisix/apisix\core\dns\client.lua,150,228,35,9
apisix,testdir/apisix/apisix\core\etcd.lua,352,1416,63,8
apisix,testdir/apisix/apisix\core\id.lua,93,27,15,6
apisix,testdir/apisix/apisix\core\json.lua,100,423,3,4
apisix,testdir/apisix/apisix\core\log.lua,138,181,12,8
apisix,testdir/apisix/apisix\core\lrucache.lua,175,117,66,10
apisix,testdir/apisix/apisix\core\profile.lua,35,0,0,0
apisix,testdir/apisix/apisix\core\request.lua,238,499,140,12
apisix,testdir/apisix/apisix\core\response.lua,154,182,59,12
apisix,testdir/apisix/apisix\core\schema.lua,65,21,0,0
apisix,testdir/apisix/apisix\core\string.lua,69,50,9,5
apisix,testdir/apisix/apisix\core\table.lua,252,1534,107,12
apisix,testdir/apisix/apisix\core\timer.lua,100,29,13,4
apisix,testdir/apisix/apisix\core\version.lua,19,0,0,0
apisix,testdir/apisix/apisix\discovery\consul_kv.lua,515,1445,186,12
apisix,testdir/apisix/apisix\discovery\dns.lua,94,36,6,4
apisix,testdir/apisix/apisix\discovery\eureka.lua,260,465,102,12
apisix,testdir/apisix/apisix\discovery\init.lua,43,5,0,0
apisix,testdir/apisix/apisix\http\route.lua,137,260,40,9
apisix,testdir/apisix/apisix\http\router\radixtree_host_uri.lua,152,263,24,7
apisix,testdir/apisix/apisix\http\router\radixtree_uri.lua,46,4,5,4
apisix,testdir/apisix/apisix\http\router\radixtree_uri_with_parameter.lua,46,4,9,5
apisix,testdir/apisix/apisix\http\service.lua,107,142,2,3
apisix,testdir/apisix/apisix\init.lua,800,6487,365,12
apisix,testdir/apisix/apisix\patch.lua,244,447,113,12
apisix,testdir/apisix/apisix\plugin.lua,729,4805,182,12
apisix,testdir/apisix/apisix\plugin_config.lua,72,43,0,0
apisix,testdir/apisix/apisix\plugins\api-breaker.lua,237,358,56,8
apisix,testdir/apisix/apisix\plugins\authz-keycloak.lua,704,2713,80,11
apisix,testdir/apisix/apisix\plugins\basic-auth.lua,171,169,17,5
apisix,testdir/apisix/apisix\plugins\batch-requests.lua,280,695,26,6
apisix,testdir/apisix/apisix\plugins\consumer-restriction.lua,156,156,0,0
apisix,testdir/apisix/apisix\plugins\cors.lua,248,164,11,5
apisix,testdir/apisix/apisix\plugins\dubbo-proxy.lua,69,22,0,0
apisix,testdir/apisix/apisix\plugins\echo.lua,136,89,4,3
apisix,testdir/apisix/apisix\plugins\error-log-logger.lua,207,342,67,11
apisix,testdir/apisix/apisix\plugins\example-plugin.lua,130,86,8,3
apisix,testdir/apisix/apisix\plugins\fault-injection.lua,152,230,20,6
apisix,testdir/apisix/apisix\plugins\grpc-transcode.lua,174,188,10,7
apisix,testdir/apisix/apisix\plugins\grpc-transcode\proto.lua,89,11,2,3
apisix,testdir/apisix/apisix\plugins\grpc-transcode\request.lua,74,28,32,9
apisix,testdir/apisix/apisix\plugins\grpc-transcode\response.lua,73,58,19,7
apisix,testdir/apisix/apisix\plugins\grpc-transcode\util.lua,118,137,23,8
apisix,testdir/apisix/apisix\plugins\hmac-auth.lua,418,1817,248,12
apisix,testdir/apisix/apisix\plugins\http-logger.lua,298,626,89,10
apisix,testdir/apisix/apisix\plugins\ip-restriction.lua,162,121,6,4
apisix,testdir/apisix/apisix\plugins\jwt-auth.lua,340,662,106,12
apisix,testdir/apisix/apisix\plugins\kafka-logger.lua,216,332,54,9
apisix,testdir/apisix/apisix\plugins\key-auth.lua,105,60,4,3
apisix,testdir/apisix/apisix\plugins\limit-conn.lua,136,77,2,3
apisix,testdir/apisix/apisix\plugins\limit-count.lua,182,337,16,5
apisix,testdir/apisix/apisix\plugins\limit-count\limit-count-redis-cluster.lua,134,139,21,6
apisix,testdir/apisix/apisix\plugins\limit-count\limit-count-redis.lua,141,103,22,5
apisix,testdir/apisix/apisix\plugins\limit-req.lua,104,51,2,3
apisix,testdir/apisix/apisix\plugins\log-rotate.lua,218,202,94,12
apisix,testdir/apisix/apisix\plugins\node-status.lua,98,25,6,4
apisix,testdir/apisix/apisix\plugins\openid-connect.lua,325,352,114,12
apisix,testdir/apisix/apisix\plugins\prometheus.lua,73,6,6,4
apisix,testdir/apisix/apisix\plugins\prometheus\exporter.lua,331,332,281,12
apisix,testdir/apisix/apisix\plugins\proxy-cache.lua,289,604,50,11
apisix,testdir/apisix/apisix\plugins\proxy-mirror.lua,60,9,0,0
apisix,testdir/apisix/apisix\plugins\proxy-rewrite.lua,205,373,18,6
apisix,testdir/apisix/apisix\plugins\redirect.lua,146,88,9,4
apisix,testdir/apisix/apisix\plugins\referer-restriction.lua,124,34,0,0
apisix,testdir/apisix/apisix\plugins\request-id.lua,68,14,0,0
apisix,testdir/apisix/apisix\plugins\request-validation.lua,125,61,6,4
apisix,testdir/apisix/apisix\plugins\response-rewrite.lua,175,159,9,5
apisix,testdir/apisix/apisix\plugins\serverless-post-function.lua,17,0,0,0
apisix,testdir/apisix/apisix\plugins\serverless-pre-function.lua,17,0,0,0
apisix,testdir/apisix/apisix\plugins\serverless\init.lua,133,128,11,6
apisix,testdir/apisix/apisix\plugins\skywalking.lua,151,128,18,6
apisix,testdir/apisix/apisix\plugins\sls-logger.lua,207,347,113,12
apisix,testdir/apisix/apisix\plugins\syslog.lua,195,348,64,9
apisix,testdir/apisix/apisix\plugins\tcp-logger.lua,175,239,68,8
apisix,testdir/apisix/apisix\plugins\traffic-split.lua,298,633,40,10
apisix,testdir/apisix/apisix\plugins\udp-logger.lua,159,171,45,8
apisix,testdir/apisix/apisix\plugins\uri-blocker.lua,94,30,0,0
apisix,testdir/apisix/apisix\plugins\wolf-rbac.lua,512,3666,258,12
apisix,testdir/apisix/apisix\plugins\zipkin.lua,287,472,72,11
apisix,testdir/apisix/apisix\plugins\zipkin\codec.lua,112,88,35,9
apisix,testdir/apisix/apisix\plugins\zipkin\random_sampler.lua,38,9,3,4
apisix,testdir/apisix/apisix\plugins\zipkin\reporter.lua,181,180,51,7
apisix,testdir/apisix/apisix\router.lua,172,437,45,8
apisix,testdir/apisix/apisix\script.lua,59,23,2,3
apisix,testdir/apisix/apisix\ssl.lua,111,165,21,6
apisix,testdir/apisix/apisix\ssl\router\radixtree_sni.lua,266,382,88,12
apisix,testdir/apisix/apisix\stream\plugins\mqtt-proxy.lua,186,140,74,11
apisix,testdir/apisix/apisix\stream\router\ip_port.lua,99,46,2,3
apisix,testdir/apisix/apisix\timers.lua,97,36,27,8
apisix,testdir/apisix/apisix\upstream.lua,355,1280,58,9
apisix,testdir/apisix/apisix\utils\batch-processor.lua,206,142,49,10
apisix,testdir/apisix/apisix\utils\log-util.lua,99,100,14,5
apisix,testdir/apisix/apisix\utils\router.lua,34,0,0,0
apisix,testdir/apisix/apisix\utils\upstream.lua,61,14,0,0
