project,file,loc,nclones,nsequences,maxseqlen
apisix_t1,testdir/apisix/apisix\admin\consumers.lua,125,24,0,0
apisix_t1,testdir/apisix/apisix\admin\global_rules.lua,176,57,0,0
apisix_t1,testdir/apisix/apisix\admin\init.lua,382,100,0,0
apisix_t1,testdir/apisix/apisix\admin\plugin_config.lua,173,56,0,0
apisix_t1,testdir/apisix/apisix\admin\plugin_metadata.lua,137,18,0,0
apisix_t1,testdir/apisix/apisix\admin\plugins.lua,102,8,0,0
apisix_t1,testdir/apisix/apisix\admin\proto.lua,171,42,0,0
apisix_t1,testdir/apisix/apisix\admin\routes.lua,309,155,0,0
apisix_t1,testdir/apisix/apisix\admin\schema.lua,35,0,0,0
apisix_t1,testdir/apisix/apisix\admin\services.lua,261,117,0,0
apisix_t1,testdir/apisix/apisix\admin\ssl.lua,239,108,0,0
apisix_t1,testdir/apisix/apisix\admin\stream_routes.lua,149,46,0,0
apisix_t1,testdir/apisix/apisix\admin\upstreams.lua,302,105,0,0
apisix_t1,testdir/apisix/apisix\admin\utils.lua,60,2,0,0
apisix_t1,testdir/apisix/apisix\api_router.lua,170,10,0,0
apisix_t1,testdir/apisix/apisix\balancer.lua,242,42,0,0
apisix_t1,testdir/apisix/apisix\balancer\ewma.lua,243,20,0,0
apisix_t1,testdir/apisix/apisix\balancer\least_conn.lua,113,7,0,0
apisix_t1,testdir/apisix/apisix\balancer\priority.lua,81,4,0,0
apisix_t1,testdir/apisix/apisix\balancer\roundrobin.lua,89,4,0,0
apisix_t1,testdir/apisix/apisix\cli\apisix.lua,34,0,0,0
apisix_t1,testdir/apisix/apisix\cli\env.lua,84,0,0,0
apisix_t1,testdir/apisix/apisix\cli\file.lua,216,146,0,0
apisix_t1,testdir/apisix/apisix\cli\util.lua,131,27,0,0
apisix_t1,testdir/apisix/apisix\constants.lua,38,5,0,0
apisix_t1,testdir/apisix/apisix\consumer.lua,130,6,0,0
apisix_t1,testdir/apisix/apisix\control\router.lua,189,15,0,0
apisix_t1,testdir/apisix/apisix\control\v1.lua,176,12,0,0
apisix_t1,testdir/apisix/apisix\core.lua,52,0,0,0
apisix_t1,testdir/apisix/apisix\core\config_etcd.lua,777,386,0,0
apisix_t1,testdir/apisix/apisix\core\config_local.lua,47,1,0,0
apisix_t1,testdir/apisix/apisix\core\config_util.lua,68,1,0,0
apisix_t1,testdir/apisix/apisix\core\config_yaml.lua,373,59,0,0
apisix_t1,testdir/apisix/apisix\core\ctx.lua,221,27,0,0
apisix_t1,testdir/apisix/apisix\core\dns\client.lua,150,14,0,0
apisix_t1,testdir/apisix/apisix\core\etcd.lua,352,223,0,0
