project,file,loc,nclones,nsequences,maxseqlen
awesome,testdir/awesome/lib\awful\_compat.lua,80,31,32,9
awesome,testdir/awesome/lib\awful\autofocus.lua,18,0,0,0
awesome,testdir/awesome/lib\awful\button.lua,322,525,29,7
awesome,testdir/awesome/lib\awful\client\focus.lua,223,140,0,0
awesome,testdir/awesome/lib\awful\client\shape.lua,131,87,53,8
awesome,testdir/awesome/lib\awful\client\urgent.lua,110,13,2,3
awesome,testdir/awesome/lib\awful\dbus.lua,19,0,0,0
awesome,testdir/awesome/lib\awful\ewmh.lua,9,1,0,0
awesome,testdir/awesome/lib\awful\hotkeys_popup\init.lua,33,0,0,0
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\firefox.lua,41,8,0,0
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\init.lua,19,4,3,4
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\qutebrowser.lua,187,858,31,12
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\termite.lua,108,456,128,12
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\tmux.lua,91,86,42,10
awesome,testdir/awesome/lib\awful\hotkeys_popup\keys\vim.lua,195,1410,279,12
awesome,testdir/awesome/lib\awful\hotkeys_popup\widget.lua,770,4050,151,12
awesome,testdir/awesome/lib\awful\init.lua,53,49,11,12
awesome,testdir/awesome/lib\awful\key.lua,434,471,26,9
awesome,testdir/awesome/lib\awful\keyboard.lua,232,310,12,4
awesome,testdir/awesome/lib\awful\keygrabber.lua,865,1013,54,11
awesome,testdir/awesome/lib\awful\layout\init.lua,489,987,398,12
awesome,testdir/awesome/lib\awful\layout\suit\corner.lua,212,299,212,12
awesome,testdir/awesome/lib\awful\layout\suit\floating.lua,113,152,6,4
awesome,testdir/awesome/lib\awful\layout\suit\init.lua,19,6,5,6
awesome,testdir/awesome/lib\awful\layout\suit\magnifier.lua,155,137,15,4
awesome,testdir/awesome/lib\awful\layout\suit\max.lua,65,15,2,3
awesome,testdir/awesome/lib\awful\layout\suit\spiral.lua,89,30,2,3
awesome,testdir/awesome/lib\awful\mouse\client.lua,147,64,2,3
awesome,testdir/awesome/lib\awful\mouse\drag_to_tag.lua,60,10,4,3
awesome,testdir/awesome/lib\awful\mouse\init.lua,404,386,81,12
awesome,testdir/awesome/lib\awful\mouse\resize.lua,257,170,37,9
awesome,testdir/awesome/lib\awful\mouse\snap.lua,280,305,108,12
awesome,testdir/awesome/lib\awful\permissions\_common.lua,82,224,2,3
awesome,testdir/awesome/lib\awful\permissions\init.lua,764,1034,212,12
awesome,testdir/awesome/lib\awful\remote.lua,49,48,4,5
awesome,testdir/awesome/lib\awful\root.lua,119,113,0,0
awesome,testdir/awesome/lib\awful\rules.lua,15,1,0,0
awesome,testdir/awesome/lib\awful\screen.lua,1022,1360,19,5
awesome,testdir/awesome/lib\awful\spawn.lua,744,731,64,11
awesome,testdir/awesome/lib\awful\startup_notification.lua,58,9,25,8
awesome,testdir/awesome/lib\awful\tag.lua,1931,7380,440,12
awesome,testdir/awesome/lib\awful\titlebar.lua,847,851,107,12
awesome,testdir/awesome/lib\awful\tooltip.lua,786,2488,279,12
awesome,testdir/awesome/lib\awful\util.lua,489,977,387,12
awesome,testdir/awesome/lib\awful\wibar.lua,463,587,33,8
awesome,testdir/awesome/lib\awful\wibox.lua,14,1,0,0
awesome,testdir/awesome/lib\awful\widget\button.lua,74,18,4,5
awesome,testdir/awesome/lib\awful\widget\calendar_popup.lua,423,404,53,10
awesome,testdir/awesome/lib\awful\widget\clienticon.lua,136,241,2,3
awesome,testdir/awesome/lib\awful\widget\common.lua,201,254,24,6
awesome,testdir/awesome/lib\awful\widget\graph.lua,16,1,0,0
awesome,testdir/awesome/lib\awful\widget\init.lua,29,15,11,12
awesome,testdir/awesome/lib\awful\widget\keyboardlayout.lua,322,303,23,12
awesome,testdir/awesome/lib\awful\widget\launcher.lua,59,3,2,3
awesome,testdir/awesome/lib\awful\widget\layoutbox.lua,122,83,6,7
awesome,testdir/awesome/lib\awful\widget\layoutlist.lua,451,1192,50,10
awesome,testdir/awesome/lib\awful\widget\only_on_screen.lua,138,150,35,9
