project,file,loc,nclones,nsequences,maxseqlen
awesomeWM,awesome/lib\awful\_compat.lua,80,32,30,9
awesomeWM,awesome/lib\awful\autofocus.lua,18,0,0,0
awesomeWM,awesome/lib\awful\button.lua,322,526,29,7
awesomeWM,awesome/lib\awful\client\focus.lua,223,140,0,0
awesomeWM,awesome/lib\awful\client\shape.lua,131,88,50,8
awesomeWM,awesome/lib\awful\client\urgent.lua,110,13,2,3
awesomeWM,awesome/lib\awful\dbus.lua,19,0,0,0
awesomeWM,awesome/lib\awful\ewmh.lua,9,1,0,0
awesomeWM,awesome/lib\awful\hotkeys_popup\init.lua,33,0,0,0
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\firefox.lua,41,8,0,0
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\init.lua,19,4,3,4
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\qutebrowser.lua,187,858,35,16
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\termite.lua,108,486,150,20
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\tmux.lua,91,101,40,10
awesomeWM,awesome/lib\awful\hotkeys_popup\keys\vim.lua,195,1207,460,25
awesomeWM,awesome/lib\awful\hotkeys_popup\widget.lua,770,4168,146,12
awesomeWM,awesome/lib\awful\init.lua,53,49,23,24
awesomeWM,awesome/lib\awful\key.lua,434,475,26,9
awesomeWM,awesome/lib\awful\keyboard.lua,232,310,12,4
awesomeWM,awesome/lib\awful\keygrabber.lua,865,1021,54,11
awesomeWM,awesome/lib\awful\layout\init.lua,489,970,836,41
awesomeWM,awesome/lib\awful\layout\suit\corner.lua,212,322,278,23
awesomeWM,awesome/lib\awful\layout\suit\floating.lua,113,167,6,4
awesomeWM,awesome/lib\awful\layout\suit\init.lua,19,6,5,6
awesomeWM,awesome/lib\awful\layout\suit\magnifier.lua,155,147,15,4
awesomeWM,awesome/lib\awful\layout\suit\max.lua,65,15,2,3
awesomeWM,awesome/lib\awful\layout\suit\spiral.lua,89,36,2,3
awesomeWM,awesome/lib\awful\mouse\client.lua,147,67,2,3
awesomeWM,awesome/lib\awful\mouse\drag_to_tag.lua,60,16,4,3
awesomeWM,awesome/lib\awful\mouse\init.lua,404,388,82,13
awesomeWM,awesome/lib\awful\mouse\resize.lua,257,182,36,9
awesomeWM,awesome/lib\awful\mouse\snap.lua,280,317,112,12
awesomeWM,awesome/lib\awful\permissions\_common.lua,82,224,2,3
awesomeWM,awesome/lib\awful\permissions\init.lua,764,1045,424,31
awesomeWM,awesome/lib\awful\remote.lua,49,50,4,5
awesomeWM,awesome/lib\awful\root.lua,119,114,0,0
awesomeWM,awesome/lib\awful\rules.lua,15,1,0,0
awesomeWM,awesome/lib\awful\screen.lua,1022,1411,19,5
awesomeWM,awesome/lib\awful\spawn.lua,744,753,64,11
awesomeWM,awesome/lib\awful\startup_notification.lua,58,9,26,8
awesomeWM,awesome/lib\awful\tag.lua,1931,7455,1035,46
awesomeWM,awesome/lib\awful\titlebar.lua,847,863,127,17
awesomeWM,awesome/lib\awful\tooltip.lua,786,2505,402,27
awesomeWM,awesome/lib\awful\util.lua,489,954,919,44
awesomeWM,awesome/lib\awful\wibar.lua,463,613,32,8
awesomeWM,awesome/lib\awful\wibox.lua,14,1,0,0
awesomeWM,awesome/lib\awful\widget\button.lua,74,18,4,5
awesomeWM,awesome/lib\awful\widget\calendar_popup.lua,423,489,50,10
awesomeWM,awesome/lib\awful\widget\clienticon.lua,136,241,2,3
awesomeWM,awesome/lib\awful\widget\common.lua,201,255,21,6
awesomeWM,awesome/lib\awful\widget\graph.lua,16,1,0,0
awesomeWM,awesome/lib\awful\widget\init.lua,29,15,14,15
awesomeWM,awesome/lib\awful\widget\keyboardlayout.lua,322,318,103,92
awesomeWM,awesome/lib\awful\widget\launcher.lua,59,3,2,3
awesomeWM,awesome/lib\awful\widget\layoutbox.lua,122,83,6,7
awesomeWM,awesome/lib\awful\widget\layoutlist.lua,451,1199,38,10
awesomeWM,awesome/lib\awful\widget\only_on_screen.lua,138,152,36,9
awesomeWM,awesome/lib\awful\widget\progressbar.lua,16,1,0,0
awesomeWM,awesome/lib\awful\widget\prompt.lua,167,39,112,16
awesomeWM,awesome/lib\awful\widget\textclock.lua,16,1,0,0
awesomeWM,awesome/lib\awful\widget\watch.lua,101,4,2,3
awesomeWM,awesome/lib\beautiful.lua,7,0,0,0
awesomeWM,awesome/lib\beautiful\gtk.lua,245,270,649,35
awesomeWM,awesome/lib\beautiful\init.lua,340,382,132,17
awesomeWM,awesome/lib\beautiful\theme_assets.lua,302,1421,14,4
awesomeWM,awesome/lib\beautiful\xresources.lua,144,84,16,17
awesomeWM,awesome/lib\gears\cache.lua,64,21,0,0
awesomeWM,awesome/lib\gears\color.lua,377,1544,52,11
awesomeWM,awesome/lib\gears\debug.lua,180,183,26,8
awesomeWM,awesome/lib\gears\filesystem.lua,199,193,35,9
awesomeWM,awesome/lib\gears\init.lua,28,15,14,15
awesomeWM,awesome/lib\gears\matcher.lua,571,937,52,9
awesomeWM,awesome/lib\gears\math.lua,94,47,0,0
awesomeWM,awesome/lib\gears\matrix.lua,225,143,45,9
awesomeWM,awesome/lib\gears\object.lua,300,853,18,6
awesomeWM,awesome/lib\gears\object\properties.lua,319,860,6,4
awesomeWM,awesome/lib\gears\protected_call.lua,58,9,6,4
