project,file,loc,nclones,nsequences,maxseqlen
koreader,koreader/frontend\apps\cloudstorage\cloudstorage.lua,713,372,0,0
koreader,koreader/frontend\apps\cloudstorage\dropbox.lua,153,15,0,0
koreader,koreader/frontend\apps\cloudstorage\ftp.lua,171,30,0,0
koreader,koreader/frontend\apps\cloudstorage\ftpapi.lua,96,15,0,0
koreader,koreader/frontend\apps\cloudstorage\webdav.lua,156,25,0,0
koreader,koreader/frontend\apps\cloudstorage\webdavapi.lua,172,33,0,0
koreader,koreader/frontend\apps\filemanager\filemanager.lua,1144,1947,0,0
koreader,koreader/frontend\apps\filemanager\filemanagerbookinfo.lua,298,96,0,0
koreader,koreader/frontend\apps\filemanager\filemanagercollection.lua,163,43,0,0
koreader,koreader/frontend\apps\filemanager\filemanagerconverter.lua,109,9,0,0
koreader,koreader/frontend\apps\filemanager\filemanagerfilesearcher.lua,169,26,0,0
koreader,koreader/frontend\apps\filemanager\filemanagerhistory.lua,150,54,0,0
koreader,koreader/frontend\apps\filemanager\filemanagermenu.lua,849,228,0,0
koreader,koreader/frontend\apps\filemanager\filemanagershortcuts.lua,236,39,0,0
koreader,koreader/frontend\apps\filemanager\filemanagerutil.lua,46,4,0,0
koreader,koreader/frontend\apps\reader\modules\readeractivityindicator.lua,82,6,0,0
koreader,koreader/frontend\apps\reader\modules\readerback.lua,192,31,0,0
koreader,koreader/frontend\apps\reader\modules\readerbookmark.lua,813,909,0,0
koreader,koreader/frontend\apps\reader\modules\readerconfig.lua,186,20,0,0
koreader,koreader/frontend\apps\reader\modules\readercoptlistener.lua,336,194,0,0
koreader,koreader/frontend\apps\reader\modules\readercropping.lua,175,24,0,0
koreader,koreader/frontend\apps\reader\modules\readerdevicestatus.lua,125,22,0,0
koreader,koreader/frontend\apps\reader\modules\readerdictionary.lua,1121,278,0,0
koreader,koreader/frontend\apps\reader\modules\readerdogear.lua,129,19,0,0
koreader,koreader/frontend\apps\reader\modules\readerflipping.lua,33,1,0,0
koreader,koreader/frontend\apps\reader\modules\readerfont.lua,500,115,0,0
koreader,koreader/frontend\apps\reader\modules\readerfooter.lua,2256,2923,0,0
koreader,koreader/frontend\apps\reader\modules\readergoto.lua,184,29,0,0
koreader,koreader/frontend\apps\reader\modules\readerhighlight.lua,1524,933,0,0
koreader,koreader/frontend\apps\reader\modules\readerhinting.lua,37,14,0,0
koreader,koreader/frontend\apps\reader\modules\readerkoptlistener.lua,76,14,0,0
koreader,koreader/frontend\apps\reader\modules\readerlink.lua,1352,263,0,0
koreader,koreader/frontend\apps\reader\modules\readermenu.lua,471,85,0,0
koreader,koreader/frontend\apps\reader\modules\readerpagemap.lua,435,74,0,0
koreader,koreader/frontend\apps\reader\modules\readerpanning.lua,48,9,0,0
koreader,koreader/frontend\apps\reader\modules\readerrolling.lua,1413,690,0,0
koreader,koreader/frontend\apps\reader\modules\readerrotation.lua,34,1,0,0
koreader,koreader/frontend\apps\reader\modules\readersearch.lua,232,28,0,0
koreader,koreader/frontend\apps\reader\modules\readerstatus.lua,261,76,0,0
koreader,koreader/frontend\apps\reader\modules\readerstyletweak.lua,793,167,0,0
koreader,koreader/frontend\apps\reader\modules\readertoc.lua,1050,1001,0,0
koreader,koreader/frontend\apps\reader\modules\readertypeset.lua,533,294,0,0
koreader,koreader/frontend\apps\reader\modules\readertypography.lua,861,290,0,0
koreader,koreader/frontend\apps\reader\modules\readerview.lua,986,964,0,0
koreader,koreader/frontend\apps\reader\modules\readerwikipedia.lua,539,73,0,0
koreader,koreader/frontend\apps\reader\modules\readerzooming.lua,613,154,0,0
koreader,koreader/frontend\apps\reader\readerui.lua,790,1683,0,0
koreader,koreader/frontend\cache.lua,200,64,0,0
koreader,koreader/frontend\cacheitem.lua,19,0,0,0
koreader,koreader/frontend\configurable.lua,71,34,0,0
koreader,koreader/frontend\dbg.lua,108,7,0,0
koreader,koreader/frontend\depgraph.lua,260,38,0,0
koreader,koreader/frontend\device.lua,55,0,0,0
koreader,koreader/frontend\device\android\device.lua,450,74,0,0
koreader,koreader/frontend\device\android\event_map.lua,34,0,0,0
koreader,koreader/frontend\device\android\powerd.lua,88,5,0,0
koreader,koreader/frontend\device\cervantes\device.lua,253,15,0,0
koreader,koreader/frontend\device\cervantes\powerd.lua,217,50,0,0
koreader,koreader/frontend\device\devicelistener.lua,363,57,0,0
koreader,koreader/frontend\device\dummy\device.lua,26,0,0,0
koreader,koreader/frontend\device\generic\device.lua,528,35,0,0
koreader,koreader/frontend\device\generic\powerd.lua,157,52,0,0
koreader,koreader/frontend\device\input.lua,864,259,0,0
koreader,koreader/frontend\device\key.lua,91,12,0,0
koreader,koreader/frontend\device\kindle\device.lua,984,1434,0,0
koreader,koreader/frontend\device\kindle\event_map_keyboard.lua,39,0,0,0
koreader,koreader/frontend\device\kindle\event_map_kindle4.lua,19,0,0,0
koreader,koreader/frontend\device\kindle\keyboard_layout.lua,14,0,0,0
koreader,koreader/frontend\device\kindle\powerd.lua,165,18,0,0
koreader,koreader/frontend\device\kobo\device.lua,908,278,93,15
koreader,koreader/frontend\device\kobo\nickel_conf.lua,256,41,0,0
koreader,koreader/frontend\device\kobo\powerd.lua,414,151,0,0
koreader,koreader/frontend\device\pocketbook\device.lua,661,221,0,0
koreader,koreader/frontend\device\pocketbook\powerd.lua,82,4,0,0
koreader,koreader/frontend\device\remarkable\device.lua,208,20,0,0
koreader,koreader/frontend\device\remarkable\event_map.lua,7,0,0,0
koreader,koreader/frontend\device\remarkable\powerd.lua,25,0,0,0
koreader,koreader/frontend\device\sdl\device.lua,378,49,0,0
koreader,koreader/frontend\device\sdl\keyboard_layout.lua,14,0,0,0
koreader,koreader/frontend\device\sdl\powerd.lua,42,1,0,0
koreader,koreader/frontend\device\sony-prstux\device.lua,209,8,0,0
koreader,koreader/frontend\device\sony-prstux\event_map.lua,8,0,0,0
koreader,koreader/frontend\device\sony-prstux\powerd.lua,31,0,0,0
koreader,koreader/frontend\device\sysfs_light.lua,152,16,0,0
koreader,koreader/frontend\device\thirdparty.lua,68,18,0,0
koreader,koreader/frontend\device\wakeupmgr.lua,194,9,0,0
koreader,koreader/frontend\dispatcher.lua,639,8682,0,0
