project,file,loc,nclones,nsequences,maxseqlen
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\cloudstorage.lua,713,286,0,0
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\dropbox.lua,153,14,0,0
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\ftp.lua,171,30,0,0
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\ftpapi.lua,96,12,0,0
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\webdav.lua,156,25,0,0
koreader_t1,testdir/koreader/frontend\apps\cloudstorage\webdavapi.lua,172,15,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanager.lua,1144,1922,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagerbookinfo.lua,298,73,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagercollection.lua,163,43,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagerconverter.lua,109,9,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagerfilesearcher.lua,169,25,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagerhistory.lua,150,54,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagermenu.lua,849,222,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagershortcuts.lua,236,39,0,0
koreader_t1,testdir/koreader/frontend\apps\filemanager\filemanagerutil.lua,46,3,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readeractivityindicator.lua,82,6,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerback.lua,192,27,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerbookmark.lua,813,879,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerconfig.lua,186,19,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readercoptlistener.lua,336,68,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readercropping.lua,175,23,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerdevicestatus.lua,125,22,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerdictionary.lua,1121,260,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerdogear.lua,129,19,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerflipping.lua,33,1,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerfont.lua,500,114,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerfooter.lua,2256,2809,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readergoto.lua,184,29,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerhighlight.lua,1524,898,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerhinting.lua,37,14,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerkoptlistener.lua,76,12,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerlink.lua,1352,250,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readermenu.lua,471,80,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerpagemap.lua,435,74,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerpanning.lua,48,8,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerrolling.lua,1413,514,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerrotation.lua,34,1,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readersearch.lua,232,28,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerstatus.lua,261,75,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerstyletweak.lua,793,151,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readertoc.lua,1050,693,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readertypeset.lua,533,279,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readertypography.lua,861,278,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerview.lua,986,955,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerwikipedia.lua,539,68,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\modules\readerzooming.lua,613,141,0,0
koreader_t1,testdir/koreader/frontend\apps\reader\readerui.lua,790,1682,0,0
koreader_t1,testdir/koreader/frontend\cache.lua,200,54,0,0
koreader_t1,testdir/koreader/frontend\cacheitem.lua,19,0,0,0
koreader_t1,testdir/koreader/frontend\configurable.lua,71,34,0,0
koreader_t1,testdir/koreader/frontend\dbg.lua,108,7,0,0
koreader_t1,testdir/koreader/frontend\depgraph.lua,260,38,0,0
