project,file,loc,nclones,nsequences,maxseqlen
luakit,testdir/luakit/lib\adblock_wm.lua,184,154,15,5
luakit,testdir/luakit/lib\binds.lua,650,3303,764,12
luakit,testdir/luakit/lib\bookmarks.lua,150,88,2,3
luakit,testdir/luakit/lib\chrome_wm.lua,29,6,0,0
luakit,testdir/luakit/lib\clear_data.lua,128,76,18,10
luakit,testdir/luakit/lib\cmdhist.lua,111,34,7,4
luakit,testdir/luakit/lib\domain_props.lua,112,1,0,0
luakit,testdir/luakit/lib\downloads.lua,354,816,15,6
luakit,testdir/luakit/lib\editor.lua,77,12,2,3
luakit,testdir/luakit/lib\error_page_wm.lua,17,0,0,0
luakit,testdir/luakit/lib\follow.lua,598,2156,100,10
luakit,testdir/luakit/lib\follow_selected.lua,56,24,11,6
luakit,testdir/luakit/lib\follow_wm.lua,134,114,2,3
luakit,testdir/luakit/lib\formfiller.lua,397,880,52,11
luakit,testdir/luakit/lib\go_up.lua,119,57,6,4
luakit,testdir/luakit/lib\gopher.lua,515,1243,92,12
luakit,testdir/luakit/lib\history.lua,135,15,5,4
luakit,testdir/luakit/lib\image_css_wm.lua,37,17,0,0
luakit,testdir/luakit/lib\keysym.lua,85,32,6,4
luakit,testdir/luakit/lib\lousy\bind.lua,479,2629,16,5
luakit,testdir/luakit/lib\lousy\init.lua,19,8,7,8
luakit,testdir/luakit/lib\lousy\load.lua,60,17,0,0
luakit,testdir/luakit/lib\lousy\mode.lua,62,20,10,5
luakit,testdir/luakit/lib\lousy\pickle.lua,96,443,0,0
luakit,testdir/luakit/lib\lousy\signal.lua,160,229,0,0
luakit,testdir/luakit/lib\lousy\theme.lua,68,37,0,0
luakit,testdir/luakit/lib\lousy\widget\buf.lua,39,5,2,3
luakit,testdir/luakit/lib\lousy\widget\common.lua,40,17,0,0
luakit,testdir/luakit/lib\lousy\widget\hist.lua,73,8,14,6
luakit,testdir/luakit/lib\lousy\widget\init.lua,35,20,9,10
luakit,testdir/luakit/lib\lousy\widget\menu.lua,296,746,33,9
luakit,testdir/luakit/lib\lousy\widget\progress.lua,53,7,2,3
luakit,testdir/luakit/lib\lousy\widget\ssl.lua,58,13,2,3
luakit,testdir/luakit/lib\lousy\widget\tab.lua,174,486,6,4
luakit,testdir/luakit/lib\lousy\widget\tabi.lua,52,8,3,4
luakit,testdir/luakit/lib\lousy\widget\tablist.lua,286,2341,11,4
luakit,testdir/luakit/lib\lousy\widget\uri.lua,59,12,8,4
luakit,testdir/luakit/lib\lousy\widget\zoom.lua,58,10,3,4
luakit,testdir/luakit/lib\proxy.lua,285,487,6,4
luakit,testdir/luakit/lib\quickmarks.lua,298,487,0,0
luakit,testdir/luakit/lib\readline.lua,296,770,23,12
luakit,testdir/luakit/lib\referer_control_wm.lua,50,2,0,0
luakit,testdir/luakit/lib\search.lua,202,218,0,0
luakit,testdir/luakit/lib\select.lua,121,1,0,0
luakit,testdir/luakit/lib\session.lua,264,279,13,6
luakit,testdir/luakit/lib\tabhistory.lua,100,58,0,0
luakit,testdir/luakit/lib\tabmenu.lua,85,73,26,8
luakit,testdir/luakit/lib\taborder.lua,104,31,6,4
luakit,testdir/luakit/lib\undoclose.lua,298,676,27,8
luakit,testdir/luakit/lib\unique_instance.lua,84,83,0,0
luakit,testdir/luakit/lib\vertical_tabs.lua,85,87,5,4
luakit,testdir/luakit/lib\viewpdf.lua,43,4,0,0
luakit,testdir/luakit/lib\webinspector.lua,34,2,2,3
luakit,testdir/luakit/lib\webview_wm.lua,31,4,0,0
