project,file,loc,nclones,nsequences,maxseqlen
luarocks,testdir/luarocks/src\luarocks\admin\cache.lua,88,62,3,4
luarocks,testdir/luarocks/src\luarocks\admin\cmd\add.lua,134,197,40,9
luarocks,testdir/luarocks/src\luarocks\admin\cmd\make_manifest.lua,50,21,6,7
luarocks,testdir/luarocks/src\luarocks\admin\cmd\refresh_cache.lua,31,1,2,3
luarocks,testdir/luarocks/src\luarocks\admin\cmd\remove.lua,87,118,93,12
luarocks,testdir/luarocks/src\luarocks\admin\index.lua,185,117,68,12
luarocks,testdir/luarocks/src\luarocks\build.lua,458,1867,156,12
luarocks,testdir/luarocks/src\luarocks\build\builtin.lua,367,1431,30,6
luarocks,testdir/luarocks/src\luarocks\build\cmake.lua,78,33,4,3
luarocks,testdir/luarocks/src\luarocks\build\command.lua,41,5,2,3
luarocks,testdir/luarocks/src\luarocks\build\make.lua,98,61,32,8
luarocks,testdir/luarocks/src\luarocks\cmd\build.lua,181,215,32,12
luarocks,testdir/luarocks/src\luarocks\cmd\config.lua,326,681,65,10
luarocks,testdir/luarocks/src\luarocks\cmd\doc.lua,153,241,16,8
luarocks,testdir/luarocks/src\luarocks\cmd\download.lua,51,20,0,0
luarocks,testdir/luarocks/src\luarocks\cmd\init.lua,176,222,60,11
luarocks,testdir/luarocks/src\luarocks\cmd\install.lua,251,395,75,12
luarocks,testdir/luarocks/src\luarocks\cmd\lint.lua,50,6,2,3
luarocks,testdir/luarocks/src\luarocks\cmd\list.lua,96,86,7,6
luarocks,testdir/luarocks/src\luarocks\cmd\make.lua,153,125,49,11
luarocks,testdir/luarocks/src\luarocks\cmd\new_version.lua,228,379,33,7
luarocks,testdir/luarocks/src\luarocks\cmd\pack.lua,37,3,3,4
luarocks,testdir/luarocks/src\luarocks\cmd\path.lua,70,14,5,4
luarocks,testdir/luarocks/src\luarocks\cmd\purge.lua,80,47,10,11
luarocks,testdir/luarocks/src\luarocks\cmd\remove.lua,72,44,9,10
luarocks,testdir/luarocks/src\luarocks\cmd\show.lua,315,950,158,12
luarocks,testdir/luarocks/src\luarocks\cmd\test.lua,47,12,0,0
luarocks,testdir/luarocks/src\luarocks\cmd\unpack.lua,168,395,46,10
luarocks,testdir/luarocks/src\luarocks\cmd\upload.lua,123,118,16,6
luarocks,testdir/luarocks/src\luarocks\cmd\which.lua,48,18,3,4
luarocks,testdir/luarocks/src\luarocks\core\cfg.lua,870,4725,496,12
luarocks,testdir/luarocks/src\luarocks\core\dir.lua,66,44,0,0
luarocks,testdir/luarocks/src\luarocks\core\manif.lua,114,153,22,8
luarocks,testdir/luarocks/src\luarocks\core\path.lua,150,257,8,4
luarocks,testdir/luarocks/src\luarocks\core\persist.lua,81,50,6,4
luarocks,testdir/luarocks/src\luarocks\core\sysdetect.lua,416,828,163,12
luarocks,testdir/luarocks/src\luarocks\core\util.lua,328,1600,0,0
luarocks,testdir/luarocks/src\luarocks\core\vers.lua,207,411,18,6
luarocks,testdir/luarocks/src\luarocks\deplocks.lua,106,66,13,6
luarocks,testdir/luarocks/src\luarocks\deps.lua,743,5154,58,10
luarocks,testdir/luarocks/src\luarocks\dir.lua,48,10,2,3
luarocks,testdir/luarocks/src\luarocks\download.lua,66,48,6,7
luarocks,testdir/luarocks/src\luarocks\fetch.lua,441,2749,6,7
