project,file,loc,nclones,nsequences,maxseqlen
luarocks_t1,testdir/luarocks/src\luarocks\admin\cache.lua,88,5,0,0
luarocks_t1,testdir/luarocks/src\luarocks\admin\cmd\add.lua,134,9,0,0
luarocks_t1,testdir/luarocks/src\luarocks\admin\cmd\make_manifest.lua,50,4,0,0
luarocks_t1,testdir/luarocks/src\luarocks\admin\cmd\refresh_cache.lua,31,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\admin\cmd\remove.lua,87,5,0,0
luarocks_t1,testdir/luarocks/src\luarocks\admin\index.lua,185,8,0,0
luarocks_t1,testdir/luarocks/src\luarocks\build.lua,458,477,27,11
luarocks_t1,testdir/luarocks/src\luarocks\build\builtin.lua,367,183,0,0
luarocks_t1,testdir/luarocks/src\luarocks\build\cmake.lua,78,7,0,0
luarocks_t1,testdir/luarocks/src\luarocks\build\command.lua,41,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\build\make.lua,98,21,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\build.lua,181,23,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\config.lua,326,132,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\doc.lua,153,20,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\download.lua,51,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\init.lua,176,18,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\install.lua,251,124,5,4
luarocks_t1,testdir/luarocks/src\luarocks\cmd\lint.lua,50,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\list.lua,96,14,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\make.lua,153,24,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\new_version.lua,228,48,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\pack.lua,37,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\path.lua,70,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\purge.lua,80,8,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\remove.lua,72,6,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\show.lua,315,76,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\test.lua,47,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\cmd\unpack.lua,168,100,2,3
luarocks_t1,testdir/luarocks/src\luarocks\cmd\upload.lua,123,26,6,4
luarocks_t1,testdir/luarocks/src\luarocks\cmd\which.lua,48,3,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\cfg.lua,870,341,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\dir.lua,66,4,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\manif.lua,114,22,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\path.lua,150,74,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\persist.lua,81,5,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\sysdetect.lua,416,214,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\util.lua,328,171,0,0
luarocks_t1,testdir/luarocks/src\luarocks\core\vers.lua,207,89,0,0
luarocks_t1,testdir/luarocks/src\luarocks\deplocks.lua,106,20,0,0
luarocks_t1,testdir/luarocks/src\luarocks\deps.lua,743,255,0,0
luarocks_t1,testdir/luarocks/src\luarocks\dir.lua,48,2,0,0
luarocks_t1,testdir/luarocks/src\luarocks\download.lua,66,3,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch.lua,441,296,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\cvs.lua,55,4,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\git.lua,165,44,6,4
luarocks_t1,testdir/luarocks/src\luarocks\fetch\git_file.lua,19,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\git_http.lua,26,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\git_https.lua,7,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\git_ssh.lua,32,1,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\hg.lua,65,4,6,4
luarocks_t1,testdir/luarocks/src\luarocks\fetch\hg_http.lua,24,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\hg_https.lua,8,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\hg_ssh.lua,8,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\sscm.lua,44,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fetch\svn.lua,64,5,6,4
luarocks_t1,testdir/luarocks/src\luarocks\fs.lua,138,16,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fs\freebsd.lua,11,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fs\linux.lua,50,14,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fs\lua.lua,1212,704,6,4
luarocks_t1,testdir/luarocks/src\luarocks\fs\macosx.lua,50,14,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fs\unix\tools.lua,300,41,0,0
luarocks_t1,testdir/luarocks/src\luarocks\fun.lua,143,105,0,0
luarocks_t1,testdir/luarocks/src\luarocks\loader.lua,231,13,0,0
luarocks_t1,testdir/luarocks/src\luarocks\manif.lua,269,46,0,0
luarocks_t1,testdir/luarocks/src\luarocks\manif\writer.lua,485,223,0,0
luarocks_t1,testdir/luarocks/src\luarocks\pack.lua,177,72,0,0
luarocks_t1,testdir/luarocks/src\luarocks\path.lua,262,359,0,0
luarocks_t1,testdir/luarocks/src\luarocks\persist.lua,257,38,0,0
luarocks_t1,testdir/luarocks/src\luarocks\queries.lua,215,42,0,0
luarocks_t1,testdir/luarocks/src\luarocks\remove.lua,116,48,0,0
luarocks_t1,testdir/luarocks/src\luarocks\repos.lua,616,331,0,0
luarocks_t1,testdir/luarocks/src\luarocks\require.lua,2,0,0,0
luarocks_t1,testdir/luarocks/src\luarocks\results.lua,62,3,0,0
luarocks_t1,testdir/luarocks/src\luarocks\search.lua,394,257,0,0
luarocks_t1,testdir/luarocks/src\luarocks\signing.lua,48,4,0,0
luarocks_t1,testdir/luarocks/src\luarocks\test.lua,74,12,0,0
luarocks_t1,testdir/luarocks/src\luarocks\test\busted.lua,60,2,0,0
luarocks_t1,testdir/luarocks/src\luarocks\test\command.lua,54,1,0,0
luarocks_t1,testdir/luarocks/src\luarocks\tools\patch.lua,715,328,0,0
luarocks_t1,testdir/luarocks/src\luarocks\tools\tar.lua,174,13,0,0
luarocks_t1,testdir/luarocks/src\luarocks\tools\zip.lua,539,407,23,6
luarocks_t1,testdir/luarocks/src\luarocks\type\manifest.lua,80,50,0,0
luarocks_t1,testdir/luarocks/src\luarocks\type\rockspec.lua,199,491,0,0
luarocks_t1,testdir/luarocks/src\luarocks\type_check.lua,213,48,0,0
luarocks_t1,testdir/luarocks/src\luarocks\upload\multipart.lua,109,21,0,0
luarocks_t1,testdir/luarocks/src\luarocks\util.lua,649,193,0,0
