project,mass,occurrences
apisix,1,111
apisix,8,2854
apisix,9,1704
apisix,10,1169
apisix,11,344
apisix,12,1709
apisix,13,481
apisix,14,223
apisix,15,268
apisix,16,830
apisix,17,332
apisix,18,106
apisix,19,669
apisix,20,456
apisix,21,203
apisix,22,50
apisix,23,403
apisix,24,170
apisix,25,92
apisix,26,113
apisix,27,167
apisix,28,57
apisix,29,30
apisix,30,232
apisix,31,46
apisix,32,40
apisix,33,95
apisix,34,104
apisix,35,30
apisix,36,37
apisix,37,82
apisix,38,19
apisix,39,34
apisix,40,25
apisix,41,38
apisix,42,20
apisix,43,11
apisix,44,14
apisix,45,30
apisix,46,28
apisix,47,5
apisix,48,5
apisix,49,74
apisix,50,18
apisix,51,11
apisix,52,8
apisix,53,23
apisix,54,12
apisix,55,2
apisix,56,2
apisix,57,10
apisix,58,14
apisix,59,4
apisix,60,9
apisix,62,4
apisix,63,14
apisix,64,8
apisix,65,2
apisix,66,2
apisix,67,6
apisix,68,2
apisix,72,11
apisix,73,2
apisix,74,4
apisix,78,2
apisix,79,2
apisix,80,52
apisix,81,2
apisix,83,2
apisix,84,2
apisix,86,4
apisix,87,2
apisix,88,2
apisix,90,8
apisix,91,7
apisix,94,4
apisix,96,4
apisix,97,4
apisix,101,2
apisix,102,2
apisix,106,2
apisix,109,4
apisix,110,3
apisix,119,2
apisix,120,2
apisix,122,2
apisix,123,2
apisix,146,2
apisix,153,2
apisix,154,4
apisix,161,2
apisix,168,2
apisix,169,2
apisix,184,2
