project,mass,occurrences
apisix_t1,8,861
apisix_t1,9,547
apisix_t1,10,618
apisix_t1,11,54
apisix_t1,12,687
apisix_t1,13,210
apisix_t1,14,41
apisix_t1,15,16
apisix_t1,16,160
apisix_t1,17,69
apisix_t1,18,55
apisix_t1,19,87
apisix_t1,20,104
apisix_t1,21,79
apisix_t1,22,21
apisix_t1,23,112
apisix_t1,24,57
apisix_t1,25,20
apisix_t1,26,47
apisix_t1,27,39
apisix_t1,28,32
apisix_t1,29,12
apisix_t1,30,78
apisix_t1,31,4
apisix_t1,32,9
apisix_t1,33,16
apisix_t1,34,16
apisix_t1,35,10
apisix_t1,36,8
apisix_t1,37,20
apisix_t1,38,10
apisix_t1,39,12
apisix_t1,40,11
apisix_t1,41,4
apisix_t1,42,12
apisix_t1,43,4
apisix_t1,44,4
apisix_t1,45,6
apisix_t1,46,11
apisix_t1,47,3
apisix_t1,48,4
apisix_t1,49,14
apisix_t1,50,8
apisix_t1,51,4
apisix_t1,52,2
apisix_t1,53,4
apisix_t1,54,6
apisix_t1,56,2
apisix_t1,57,4
apisix_t1,58,2
apisix_t1,59,2
apisix_t1,60,6
apisix_t1,62,4
apisix_t1,63,13
apisix_t1,64,6
apisix_t1,65,2
apisix_t1,67,6
apisix_t1,72,8
apisix_t1,73,2
apisix_t1,80,4
apisix_t1,81,2
apisix_t1,86,6
apisix_t1,91,2
apisix_t1,94,2
apisix_t1,96,2
apisix_t1,97,4
apisix_t1,101,2
apisix_t1,103,2
apisix_t1,106,2
apisix_t1,109,2
apisix_t1,110,2
apisix_t1,120,2
apisix_t1,146,2
apisix_t1,154,2
apisix_t1,160,2
apisix_t1,161,2
apisix_t1,169,2
