project,mass,occurrences
awesome,1,42
awesome,8,2635
awesome,9,3450
awesome,10,1159
awesome,11,682
awesome,12,2307
awesome,13,535
awesome,14,558
awesome,15,416
awesome,16,1350
awesome,17,343
awesome,18,289
awesome,19,1076
awesome,20,385
awesome,21,188
awesome,22,111
awesome,23,655
awesome,24,126
awesome,25,129
awesome,26,212
awesome,27,281
awesome,28,142
awesome,29,146
awesome,30,222
awesome,31,132
awesome,32,183
awesome,33,110
awesome,34,77
awesome,35,58
awesome,36,29
awesome,37,77
awesome,38,42
awesome,39,36
awesome,40,46
awesome,41,35
awesome,42,55
awesome,43,26
awesome,44,44
awesome,45,24
awesome,46,20
awesome,47,12
awesome,48,44
awesome,49,54
awesome,50,19
awesome,51,25
awesome,52,10
awesome,53,14
awesome,54,7
awesome,55,16
awesome,56,8
awesome,57,21
awesome,58,8
awesome,59,39
awesome,60,9
awesome,61,6
awesome,62,14
awesome,63,15
awesome,64,16
awesome,65,15
awesome,66,16
awesome,67,15
awesome,68,12
awesome,69,18
awesome,70,8
awesome,72,7
awesome,73,4
awesome,75,15
awesome,76,4
awesome,77,2
awesome,78,4
awesome,79,4
awesome,80,2
awesome,82,2
awesome,83,2
awesome,85,2
awesome,86,3
awesome,88,6
awesome,89,4
awesome,92,4
awesome,95,2
awesome,101,2
awesome,102,2
awesome,103,2
awesome,104,2
awesome,107,2
awesome,109,6
awesome,110,2
awesome,112,8
awesome,118,2
awesome,120,4
awesome,123,2
awesome,124,2
awesome,125,2
awesome,129,2
awesome,138,2
awesome,139,2
awesome,144,2
awesome,149,4
awesome,151,2
awesome,161,2
awesome,163,2
awesome,164,3
awesome,182,2
awesome,188,2
awesome,249,2
awesome,266,2
awesome,288,2
