project,mass,occurrences
awesome_t1,1,4
awesome_t1,8,750
awesome_t1,9,1807
awesome_t1,10,767
awesome_t1,11,139
awesome_t1,12,1141
awesome_t1,13,140
awesome_t1,14,159
awesome_t1,15,68
awesome_t1,16,475
awesome_t1,17,163
awesome_t1,18,132
awesome_t1,19,230
awesome_t1,20,194
awesome_t1,21,94
awesome_t1,22,52
awesome_t1,23,171
awesome_t1,24,62
awesome_t1,25,41
awesome_t1,26,70
awesome_t1,27,126
awesome_t1,28,60
awesome_t1,29,20
awesome_t1,30,93
awesome_t1,31,46
awesome_t1,32,45
awesome_t1,33,51
awesome_t1,34,38
awesome_t1,35,20
awesome_t1,36,13
awesome_t1,37,36
awesome_t1,38,31
awesome_t1,39,6
awesome_t1,40,12
awesome_t1,41,13
awesome_t1,42,6
awesome_t1,43,6
awesome_t1,44,9
awesome_t1,45,13
awesome_t1,46,4
awesome_t1,47,10
awesome_t1,48,11
awesome_t1,49,15
awesome_t1,50,15
awesome_t1,51,8
awesome_t1,52,2
awesome_t1,53,4
awesome_t1,54,2
awesome_t1,55,13
awesome_t1,56,2
awesome_t1,57,10
awesome_t1,58,4
awesome_t1,59,2
awesome_t1,60,4
awesome_t1,61,4
awesome_t1,62,4
awesome_t1,63,4
awesome_t1,64,2
awesome_t1,65,4
awesome_t1,66,6
awesome_t1,67,2
awesome_t1,68,3
awesome_t1,69,2
awesome_t1,70,5
awesome_t1,72,2
awesome_t1,76,2
awesome_t1,77,2
awesome_t1,78,2
awesome_t1,86,2
awesome_t1,88,6
awesome_t1,112,6
awesome_t1,138,2
awesome_t1,145,2
awesome_t1,151,2
