project,mass,occurrences
koreader,11,1830
koreader,12,3874
koreader,13,2627
koreader,14,1615
koreader,15,1611
koreader,16,3689
koreader,17,1661
koreader,18,563
koreader,19,2655
koreader,20,1213
koreader,21,1949
koreader,22,454
koreader,23,1045
koreader,24,569
koreader,25,581
koreader,26,402
koreader,27,613
koreader,28,423
koreader,29,448
koreader,30,333
koreader,31,275
koreader,32,347
koreader,33,302
koreader,34,199
koreader,35,159
koreader,36,222
koreader,37,324
koreader,38,150
koreader,39,184
koreader,40,169
koreader,41,153
koreader,42,127
koreader,43,111
koreader,44,90
koreader,45,84
koreader,46,104
koreader,47,66
koreader,48,82
koreader,49,78
koreader,50,31
koreader,51,46
koreader,52,109
koreader,53,207
koreader,54,65
koreader,55,31
koreader,56,46
koreader,57,54
koreader,58,52
koreader,59,47
koreader,60,59
koreader,61,21
koreader,62,29
koreader,63,15
koreader,64,18
koreader,65,23
koreader,66,25
koreader,67,37
koreader,68,36
koreader,69,42
koreader,70,43
koreader,71,26
koreader,72,23
koreader,73,19
koreader,74,16
koreader,75,24
koreader,76,12
koreader,77,33
koreader,78,13
koreader,79,19
koreader,80,4
koreader,81,13
koreader,82,8
koreader,83,10
koreader,84,11
koreader,85,48
koreader,86,4
koreader,87,22
koreader,88,6
koreader,89,8
koreader,90,4
koreader,91,9
koreader,92,4
koreader,93,30
koreader,94,20
koreader,95,9
koreader,97,4
koreader,98,11
koreader,99,8
koreader,100,15
koreader,101,5
koreader,102,8
koreader,103,4
koreader,104,6
koreader,105,15
koreader,107,4
koreader,108,12
koreader,110,9
koreader,111,7
koreader,112,5
koreader,113,2
koreader,114,2
koreader,115,9
koreader,116,2
koreader,117,2
koreader,118,4
koreader,120,5
koreader,121,2
koreader,122,2
koreader,123,4
koreader,124,10
koreader,125,4
koreader,126,2
koreader,128,6
koreader,130,2
koreader,131,6
koreader,132,2
koreader,134,2
koreader,135,2
koreader,136,2
koreader,137,2
koreader,138,3
koreader,139,5
koreader,141,2
koreader,143,2
koreader,144,7
koreader,146,2
koreader,147,2
koreader,148,2
koreader,149,2
koreader,150,2
koreader,151,3
koreader,152,2
koreader,153,4
koreader,154,2
koreader,155,2
koreader,157,2
koreader,158,3
koreader,161,2
koreader,163,2
koreader,169,2
koreader,171,2
koreader,181,3
koreader,183,2
koreader,185,2
koreader,186,4
koreader,187,2
koreader,188,2
koreader,194,2
koreader,208,2
koreader,217,2
koreader,227,2
koreader,236,3
koreader,237,2
koreader,253,2
koreader,256,2
koreader,269,8
koreader,270,2
koreader,277,5
koreader,281,2
koreader,289,2
koreader,292,3
koreader,327,2
koreader,336,2
koreader,358,2
koreader,359,2
koreader,412,2
