project,mass,occurrences
koreader_t1,11,576
koreader_t1,12,1670
koreader_t1,13,810
koreader_t1,14,617
koreader_t1,15,444
koreader_t1,16,975
koreader_t1,17,388
koreader_t1,18,216
koreader_t1,19,458
koreader_t1,20,514
koreader_t1,21,330
koreader_t1,22,153
koreader_t1,23,427
koreader_t1,24,177
koreader_t1,25,246
koreader_t1,26,136
koreader_t1,27,223
koreader_t1,28,146
koreader_t1,29,100
koreader_t1,30,124
koreader_t1,31,90
koreader_t1,32,165
koreader_t1,33,123
koreader_t1,34,68
koreader_t1,35,58
koreader_t1,36,69
koreader_t1,37,85
koreader_t1,38,62
koreader_t1,39,89
koreader_t1,40,46
koreader_t1,41,58
koreader_t1,42,49
koreader_t1,43,42
koreader_t1,44,33
koreader_t1,45,16
koreader_t1,46,42
koreader_t1,47,35
koreader_t1,48,32
koreader_t1,49,20
koreader_t1,50,20
koreader_t1,51,20
koreader_t1,52,29
koreader_t1,53,21
koreader_t1,54,17
koreader_t1,55,3
koreader_t1,56,18
koreader_t1,57,14
koreader_t1,58,27
koreader_t1,59,25
koreader_t1,60,21
koreader_t1,61,11
koreader_t1,62,16
koreader_t1,63,22
koreader_t1,64,4
koreader_t1,65,8
koreader_t1,66,13
koreader_t1,67,4
koreader_t1,68,15
koreader_t1,69,24
koreader_t1,70,11
koreader_t1,71,11
koreader_t1,72,8
koreader_t1,73,13
koreader_t1,74,6
koreader_t1,75,2
koreader_t1,77,12
koreader_t1,78,2
koreader_t1,79,6
koreader_t1,80,2
koreader_t1,81,2
koreader_t1,83,2
koreader_t1,85,4
koreader_t1,86,2
koreader_t1,87,6
koreader_t1,88,2
koreader_t1,89,2
koreader_t1,92,2
koreader_t1,93,4
koreader_t1,94,3
koreader_t1,100,2
koreader_t1,102,2
koreader_t1,103,4
koreader_t1,105,8
koreader_t1,107,2
koreader_t1,108,2
koreader_t1,110,6
koreader_t1,111,4
koreader_t1,115,8
koreader_t1,116,2
koreader_t1,118,4
koreader_t1,119,4
koreader_t1,120,2
koreader_t1,121,2
koreader_t1,123,2
koreader_t1,128,4
koreader_t1,130,2
koreader_t1,134,2
koreader_t1,141,2
koreader_t1,151,3
koreader_t1,153,4
koreader_t1,155,2
koreader_t1,158,3
koreader_t1,169,2
koreader_t1,171,2
koreader_t1,185,4
koreader_t1,188,2
koreader_t1,207,2
koreader_t1,250,2
koreader_t1,256,2
koreader_t1,268,2
koreader_t1,269,2
