project,mass,occurrences
luakit,1,30
luakit,8,748
luakit,9,961
luakit,10,346
luakit,11,107
luakit,12,850
luakit,13,163
luakit,14,165
luakit,15,61
luakit,16,380
luakit,17,144
luakit,18,80
luakit,19,266
luakit,20,102
luakit,21,87
luakit,22,41
luakit,23,149
luakit,24,51
luakit,25,34
luakit,26,86
luakit,27,52
luakit,28,68
luakit,29,15
luakit,30,42
luakit,31,19
luakit,32,19
luakit,33,4
luakit,34,62
luakit,35,20
luakit,36,26
luakit,37,11
luakit,38,37
luakit,39,23
luakit,40,11
luakit,41,2
luakit,42,17
luakit,43,13
luakit,44,9
luakit,45,18
luakit,46,12
luakit,49,11
luakit,50,2
luakit,51,7
luakit,52,6
luakit,53,7
luakit,55,4
luakit,57,9
luakit,59,7
luakit,60,4
luakit,62,2
luakit,63,2
luakit,64,2
luakit,65,7
luakit,68,8
luakit,71,10
luakit,72,2
luakit,73,6
luakit,74,6
luakit,75,4
luakit,77,2
luakit,81,2
luakit,82,2
luakit,89,4
luakit,94,2
luakit,97,2
luakit,100,2
luakit,114,3
luakit,119,2
luakit,128,2
luakit,131,2
luakit,137,2
luakit,153,2
luakit,161,2
luakit,167,3
luakit,168,2
