project,mass,occurrences
luakit_t1,1,1
luakit_t1,8,300
luakit_t1,9,358
luakit_t1,10,68
luakit_t1,11,36
luakit_t1,12,405
luakit_t1,13,57
luakit_t1,14,47
luakit_t1,15,18
luakit_t1,16,186
luakit_t1,17,65
luakit_t1,18,25
luakit_t1,19,79
luakit_t1,20,24
luakit_t1,21,55
luakit_t1,22,27
luakit_t1,23,38
luakit_t1,24,30
luakit_t1,25,18
luakit_t1,26,37
luakit_t1,27,24
luakit_t1,28,30
luakit_t1,29,5
luakit_t1,30,22
luakit_t1,31,14
luakit_t1,32,15
luakit_t1,33,10
luakit_t1,34,26
luakit_t1,35,14
luakit_t1,36,19
luakit_t1,37,7
luakit_t1,38,20
luakit_t1,39,17
luakit_t1,40,4
luakit_t1,41,4
luakit_t1,42,13
luakit_t1,43,2
luakit_t1,45,11
luakit_t1,46,8
luakit_t1,48,2
luakit_t1,49,9
luakit_t1,50,2
luakit_t1,51,7
luakit_t1,52,4
luakit_t1,53,4
luakit_t1,55,2
luakit_t1,57,4
luakit_t1,59,2
luakit_t1,60,4
luakit_t1,62,2
luakit_t1,63,2
luakit_t1,64,2
luakit_t1,65,7
luakit_t1,68,6
luakit_t1,71,5
luakit_t1,73,4
luakit_t1,74,4
luakit_t1,75,2
luakit_t1,77,2
luakit_t1,89,2
luakit_t1,100,5
luakit_t1,114,3
luakit_t1,122,2
luakit_t1,154,2
