project,mass,occurrences
luarocks,1,71
luarocks,8,1796
luarocks,9,1774
luarocks,10,1250
luarocks,11,177
luarocks,12,1878
luarocks,13,260
luarocks,14,419
luarocks,15,415
luarocks,16,957
luarocks,17,358
luarocks,18,53
luarocks,19,573
luarocks,20,247
luarocks,21,212
luarocks,22,188
luarocks,23,531
luarocks,24,110
luarocks,25,57
luarocks,26,168
luarocks,27,154
luarocks,28,132
luarocks,29,99
luarocks,30,411
luarocks,31,88
luarocks,32,72
luarocks,33,92
luarocks,34,37
luarocks,35,47
luarocks,36,189
luarocks,37,98
luarocks,38,62
luarocks,39,36
luarocks,40,35
luarocks,41,31
luarocks,42,34
luarocks,43,11
luarocks,44,36
luarocks,45,6
luarocks,46,12
luarocks,47,25
luarocks,48,17
luarocks,49,17
luarocks,50,2
luarocks,51,6
luarocks,52,32
luarocks,53,25
luarocks,54,12
luarocks,55,5
luarocks,56,11
luarocks,57,15
luarocks,58,12
luarocks,59,8
luarocks,60,6
luarocks,61,29
luarocks,62,18
luarocks,64,5
luarocks,66,2
luarocks,67,2
luarocks,68,3
luarocks,69,2
luarocks,70,2
luarocks,71,2
luarocks,73,10
luarocks,74,2
luarocks,75,2
luarocks,79,2
luarocks,80,2
luarocks,81,6
luarocks,85,2
luarocks,87,2
luarocks,93,2
luarocks,96,2
luarocks,101,2
luarocks,113,2
luarocks,116,2
luarocks,123,2
luarocks,132,2
luarocks,136,3
luarocks,144,2
