project,mass,occurrences
luarocks_t1,1,4
luarocks_t1,8,482
luarocks_t1,9,569
luarocks_t1,10,446
luarocks_t1,11,29
luarocks_t1,12,963
luarocks_t1,13,149
luarocks_t1,14,89
luarocks_t1,15,115
luarocks_t1,16,198
luarocks_t1,17,72
luarocks_t1,18,26
luarocks_t1,19,167
luarocks_t1,20,58
luarocks_t1,21,46
luarocks_t1,22,31
luarocks_t1,23,68
luarocks_t1,24,32
luarocks_t1,25,13
luarocks_t1,26,47
luarocks_t1,27,16
luarocks_t1,28,51
luarocks_t1,29,21
luarocks_t1,30,202
luarocks_t1,31,29
luarocks_t1,32,16
luarocks_t1,33,17
luarocks_t1,34,17
luarocks_t1,35,19
luarocks_t1,36,105
luarocks_t1,37,29
luarocks_t1,38,34
luarocks_t1,39,8
luarocks_t1,40,12
luarocks_t1,41,4
luarocks_t1,42,17
luarocks_t1,43,3
luarocks_t1,44,4
luarocks_t1,45,2
luarocks_t1,46,2
luarocks_t1,47,2
luarocks_t1,48,7
luarocks_t1,49,6
luarocks_t1,50,7
luarocks_t1,52,10
luarocks_t1,53,8
luarocks_t1,54,2
luarocks_t1,55,3
luarocks_t1,57,8
luarocks_t1,58,2
luarocks_t1,59,2
luarocks_t1,60,2
luarocks_t1,61,27
luarocks_t1,63,2
luarocks_t1,66,2
luarocks_t1,67,2
luarocks_t1,73,4
luarocks_t1,113,2
luarocks_t1,116,2
