project,file,loc,nclones,nsequences,maxseqlen
second,testdir\second\spec\deps_spec.lua,114,264,0,0
second,testdir\second\spec\dir_spec.lua,53,0,0,0
second,testdir\second\spec\download_spec.lua,57,5,0,0
second,testdir\second\spec\dummy_spec.lua,25,0,0,0
second,testdir\second\spec\external_spec.lua,33,0,9,5
second,testdir\second\spec\fixtures\a_rock.lua,1,0,0,0
second,testdir\second\spec\fixtures\busted_project\spec\sum_spec.lua,10,0,0,0
second,testdir\second\spec\fixtures\busted_project\sum.lua,7,0,0,0
second,testdir\second\spec\fixtures\double_deploy_type\ddt1.lua,1,0,0,0
second,testdir\second\spec\fixtures\double_deploy_type\ddt2.lua,1,0,0,0
second,testdir\second\spec\fixtures\mixed_deploy_type\mdt.lua,1,0,0,0
second,testdir\second\spec\fun_spec.lua,130,55,6,4
second,testdir\second\spec\help_spec.lua,27,1,0,0
second,testdir\second\spec\list_spec.lua,45,1,0,0
second,testdir\second\spec\make_manifest_spec.lua,15,0,0,0
second,testdir\second\spec\new_version_spec.lua,86,20,0,0
second,testdir\second\spec\pack_spec.lua,106,14,0,0
second,testdir\second\spec\path_spec.lua,75,34,0,0
second,testdir\second\spec\purge_spec.lua,34,4,0,0
second,testdir\second\spec\refresh_cache_spec.lua,15,0,0,0
second,testdir\second\spec\remove_spec.lua,92,26,0,0
second,testdir\second\spec\search_spec.lua,35,0,0,0
second,testdir\second\spec\show_spec.lua,107,29,0,0
second,testdir\second\spec\sysdetect_spec.lua,73,21,0,0
second,testdir\second\spec\test_spec.lua,245,54,0,0
second,testdir\second\spec\unpack_spec.lua,70,7,0,0
second,testdir\second\spec\which_spec.lua,47,1,0,0
second,testdir\second\src\second\admin\cache.lua,88,6,0,0
second,testdir\second\src\second\admin\cmd\add.lua,134,11,0,0
second,testdir\second\src\second\admin\cmd\make_manifest.lua,50,4,0,0
second,testdir\second\src\second\admin\cmd\refresh_cache.lua,31,0,0,0
second,testdir\second\src\second\admin\cmd\remove.lua,87,5,0,0
second,testdir\second\src\second\build.lua,458,489,42,11
second,testdir\second\src\second\build\builtin.lua,367,188,0,0
second,testdir\second\src\second\build\cmake.lua,78,9,0,0
second,testdir\second\src\second\build\command.lua,41,0,0,0
second,testdir\second\src\second\build\make.lua,200,22,0,0
second,testdir\second\src\second\cmd\build.lua,181,26,0,0
second,testdir\second\src\second\cmd\download.lua,51,0,0,0
second,testdir\second\src\second\cmd\init.lua,176,22,0,0
